,card_number,expiry_date,card_provider,date_payment_confirmed
0,30060773296197,2026-09-01,Diners Club / Carte Blanche,2015-11-25
1,349624180933183,2023-10-01,American Express,2001-06-18
2,3529023891650490,2023-06-01,JCB 16 digit,2000-12-26
3,213142929492281,2027-09-01,JCB 15 digit,2011-02-12
4,502067329974,2025-10-01,Maestro,1997-03-13
5,3506661913512980,2023-11-01,JCB 16 digit,2003-08-25
6,377549437870679,2027-07-01,American Express,2006-12-11
7,2321541881278150,2029-02-01,Mastercard,1995-08-24
8,6011037917693140,2024-02-01,Discover,1998-10-23
9,502049986008,2023-07-01,Maestro,2011-04-30
10,6501622116456490,2028-10-01,Discover,2006-03-11
11,6502495513721380,2027-11-01,Discover,2021-10-11
12,3551071736826240,2031-11-01,JCB 16 digit,1993-07-16
13,371493449732930,2029-10-01,American Express,2014-11-08
14,3536516200696080,2029-01-01,JCB 16 digit,2009-11-29
15,5222519319551540,2026-01-01,Mastercard,2019-02-22
16,4537509987455280000,2032-02-01,VISA 19 digit,2022-09-24
17,6011881097126120,2026-10-01,Discover,1996-12-03
18,4204210033998580000,2028-08-01,VISA 19 digit,2019-09-21
19,3540126062083770,2032-09-01,JCB 16 digit,2021-04-27
20,180093132939478,2030-05-01,JCB 15 digit,2004-12-30
21,3579161126932720,2023-02-01,JCB 16 digit,2015-11-16
22,4045259395988290,2028-06-01,VISA 16 digit,2011-01-23
23,4305628477334070000,2024-07-01,VISA 19 digit,2017-03-06
24,6011112632675670,2031-07-01,Discover,1999-02-08
25,370629659061970,2030-10-01,American Express,2008-09-27
26,3565388078802970,2032-03-01,JCB 16 digit,2016-10-28
27,4413511328768020,2030-12-01,VISA 16 digit,1995-08-15
28,3510326851192930,2031-10-01,JCB 16 digit,2001-06-30
29,30439078921644,2025-12-01,Diners Club / Carte Blanche,1998-05-20
30,2296814173210180,2024-06-01,Mastercard,2020-07-09
31,2297205767081190,2030-10-01,Mastercard,2012-03-11
32,30280604114274,2032-04-01,Diners Club / Carte Blanche,2005-04-22
33,4024414397695410000,2028-05-01,VISA 19 digit,1997-10-02
34,4529390944325970,2023-08-01,VISA 16 digit,2009-04-15
35,60485138139,2027-08-01,Maestro,2022-11-18
36,4243023678099,2023-02-01,VISA 13 digit,2021-07-05
37,4976058331830470000,2026-08-01,VISA 19 digit,2021-09-29
38,4224188732297920,2024-02-01,VISA 16 digit,1997-10-26
39,3514396157366920,2029-03-01,JCB 16 digit,2004-11-06
40,30158747323244,2025-06-01,Diners Club / Carte Blanche,1998-02-04
41,3590999821623690,2030-07-01,JCB 16 digit,2002-01-14
42,60457486839,2027-07-01,Maestro,2006-12-31
43,4934170565606,2026-08-01,VISA 13 digit,2008-10-10
44,36125643138236,2024-06-01,Diners Club / Carte Blanche,1999-03-16
45,4499574398661660,2024-01-01,VISA 16 digit,2016-08-07
46,30079697561056,2023-07-01,Diners Club / Carte Blanche,2000-08-15
47,3569354729407150,2031-06-01,JCB 16 digit,1997-04-18
48,213139697145299,2024-03-01,JCB 15 digit,2010-03-01
49,676119752563,2025-02-01,Maestro,1995-07-22
50,4923545896758580000,2023-01-01,VISA 19 digit,2017-08-15
51,4145489239111500,2030-02-01,VISA 16 digit,2018-08-31
52,4131871381315060,2027-03-01,VISA 16 digit,2007-07-30
53,4850248250585,2026-07-01,VISA 13 digit,1995-12-18
54,676231685725,2025-09-01,Maestro,1998-01-30
